SiteName,TimeZoneDisplayName10,CrestronTimeZoneId,IgnoreDaylightSavingRules
MERID,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
MEXIC,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
MIDAH,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
MILAN,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",40,FALSE
MILWA,(UTC-06:00) Central Time (US & Canada),10,FALSE
MIRAF,(UTC-06:00) Central America,12,FALSE
MISSO,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
MNTVD,(UTC-03:00) Montevideo,28,FALSE
MODES,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
MONRO,(UTC) Coordinated Universal Time,35,FALSE
MONTE,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
MONTI,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
MONTP,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
MONTR,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
MOSAC,(UTC+03:00) Nairobi,55,FALSE
MOSES,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
MTIMP,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
NAGA_,(UTC+08:00) Taipei,78,FALSE
NAIRO,(UTC+03:00) Nairobi,55,FALSE
NASHV,(UTC-06:00) Central Time (US & Canada),10,FALSE
NATAL,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",9,FALSE
NAUV2,(UTC-06:00) Central Time (US & Canada),10,FALSE
NBEAC,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
NEIAF,(UTC+13:00) Nuku'alofa,98,FALSE
NORFO,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
NOUME,"(UTC+11:00) Solomon Is., New Caledonia",93,FALSE
NUKUA,(UTC+13:00) Nuku'alofa,98,FALSE
NZEAL,"(UTC+12:00) Auckland, Wellington",96,FALSE
OAKLA,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
OAXAC,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
OGDEN,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
OKINA,"(UTC+09:00) Osaka, Sapporo, Tokyo",84,FALSE
OKLAH,(UTC-06:00) Central Time (US & Canada),10,FALSE
OQUIR,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
OREM_,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
ORLAN,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
OSAKA,"(UTC+09:00) Osaka, Sapporo, Tokyo",84,FALSE
OSLO_,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",40,FALSE
PACHU,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
